artifact__title,artifact__title_english,artifact__summary,artifact__identifier,artifact__type,artifact__type_label,artifact__date_published,artifact__date_published_year,artifact__date_circa,artifact__uri,artifact__img,artifact__doi,artifact__publication_place,artifact__publisher,artifact__rights,artifact__rights_holder,artifact__rights_uri,artifact__tags,artifact__copyright,artifact__props__Example_Label,artifact__hidden_props__Example_Label,artifact__related_urls,artifact__isbn_online,artifact__isbn_print,artifact__issn_online,artifact__issn_print,artifact__series,artifact__people,artifact__people__author,artifact__people__editor,artifact__access_type,artifact__access_orgs,artifact__search_props__Example_Label,artifact__country,artifact__high_res_thumbnail,artifact__royalty_to_id,artifact__readable,collection__uuid,file__content_type,file__name,file__media_type,file__uuid,file__url,file__language,file__fulltext_s3_url,file__fulltext_paginated_s3_url,file__toc,file__viewer_settings,file__size,file__pages,file__key_terms,file__file_hash
"Mini-Digest of Education Statistics, 1996",,"This pocket size booklet contains a synopsis of education statistics found in the Digest. Education was the primary occupation of about 74 million people in the United States in the fall of 1995. Included in this total were about 66.1 million students enrolled in American schools and colleges. About 4 million people were employed as elementary and secondary school teachers and as college faculty. Other professional, administrative, and support staff of educational institutions numbered 4.4 million. In a nation with a population af about 265 million, more than 1 out of every 4 persons participated in formal education.",,brochure,,1997-01-30,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=97379,,,,NCES,,,,,,,,,,,,,,,Thomas D. Snyder,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs97/97379.pdf,,,,,,,,,
The NAEP 1994 Technical Report,,"The purpose of this technical report is to provide details on the instrument development, sample design, data collection, and data analysis procedures of the 1994 assessment.",,report,,1997-01-30,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=97897,,,,NCES,,,,NAEP,,,,,,,,,,,Nancy L. Allen|Debra L. Kline|Christine A. Zelenak,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,,,,,,,,,,
The Schools and Staffing Survey:  Recommendations for the Future,,NCES commissioned twelve papers to examine SASS and make recommendations about improving the scope and utility of the surveys.  Authors were asked to examine the current SASS and address the effects of specific issues on future interations of SASS.  The papers were presented during seminars at NCES in the early part of 1996.,,proceedings,,1997-01-31,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=97596,,,,NCES,,,,Statistical Standards and Methodology,,,,,,,,,,,"John E. Mullens|Policy Studies Associates, Inc.|Daniel Kasprzyk|National Center for Education Statistics (Editors)",,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs/web/97596.asp,,,,,,,,,
Reading Literacy in an International Perspective:  Collected Papers from the IEA Reading Literacy Study,,These papers provide an interesting view of issues regarding reading literacy that are of concern to all nations engaged in the teaching of reading and in the amelioration of persistent inequalities in literacy.  These papers also provide a view of the statistical complexities that are required to mirror the substantive complexities of cross-national analyses.,,report,,1997-01-31,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=97875,,,,NCES,,,,International Comparisons|reading literacy,,,,,,,,,,,Marilyn Binkley|National Center for Education Statistics|Keith Rust|Westat|Inc|Trevor Williams|Westat|Inc (Editors),,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs97/97875.pdf,,,,,,,,,
Dropouts who complete high school within 2 years of scheduled graduation,,"An indicator reprinted from The Condition of Education, 1996",,brochure,,1997-01-31,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=97924,,,,NCES,,,,Dropout Rates (High School),,,,,,,,,,,Thomas M. Smith,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs97/web/97924.asp,,,,,,,,,
Who Reports Participation in Varsity Inter-Collegiate Sports at 4-Yr Colleges,,"In this report, data from the National Education Longitudinal Study of 1988 (NELS:88) are used to investigate participation in intercollegiate athletics by members of the 8th-grade class of 1988.",,statistical-publication,,1997-02-04,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=97911,,,,NCES,,,,Athletics,,,,,,,,,,,Jeff Owings,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs/web/97911.asp,,,,,,,,,
"Statistics in Brief: Advanced Telecommunications in U.S. Public Elementary and Secondary Schools, Fall 1996",,"The Survey of Advanced Telecommunications in U.S. Public Elementary and Secondary Schools, Fall 1996 requested information regarding the availability and use of advanced telecommunications in regular public schools and, in particular, access to the Internet, plans to obtain Internet access, use of advanced telecommunications by schools and teachers, and sources of support for advanced telecommunications in schools.
Keywords: computers; technology",,statistical-publication,,1997-02-05,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=97944,,,,NCES,,,,Computers|Internet Access in Schools|Technology Use  in Education|Telecommunications in Schools,,,,,,,,,,,Sheila Heaviside|Toija Riggins|Elizabeth Farris (Westat|Inc.),,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/surveys/frss/publications/97944/,,,,,,,,,
The NAEP Guide:  A Description of the Content and Methods of the 1994 and 1996 Assessments,,"The National Assessment of Educational Progress (NAEP) is mandated by Congress to survey the educational accomplishments of U.S. students and to monitor changes in those accomplishments.  NAEP tracks the educational achievement of fourth-, eighth-, and twelfth-grade students over time in selected content areas.  For over 27 years, NAEP has been collecting data with the aim of providing accurate and useful information to educators and policymakers.",,report,,1997-02-06,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=97586,,,,NCES,,,,NAEP,,,,,,,,,,,Nada Ballator,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs/97586.pdf,,,,,,,,,
"SASS 1993-94:  A Profile of Policies and Practices for Limited English Proficient Students:  Screening Methods, Program Support, and Teacher Training",,"This report examines the following questions:  (1)  What is the distribution of LEP students across different types of K-12 public schools (e.g., school level, size, community type, geographic location)?  (2) What screening methods do public schools use to identify LEP students?  (3) What proportion of public schools provide (1) English as a second language and/or (2) bilingual education programs? What proportion of LEP students receive various kinds of instruction in public schools? and (4) What percentage of public school instructors with LEP students in their classes have received training in LEP instruction?",,statistical-publication,,1997-02-11,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=97472,,,,NCES,,,,Limited English Proficient Students,,,,,,,,,,,Mei Han|David Baker (AIR) with assistance by Carlos Rodriguez (AIR),,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs97/web/97472.asp,,,,,,,,,
"Time Spent Teaching Core Academic Subjects in Elementary Schools:  Comparisons Across Community, School, Teacher, and Student Characteristics",,"This report describes the number of hours and the percentage of school time spent on core academic subjects during the elementary school week around the country. It addresses three central issues about using class time to teach core academic subjects. The first issue is the actual number of hours and the percentage of school time the nation's elementary school teachers spend on instruction in the core subject areas of English/reading/language arts, mathematics, social studies, and science. The second issue involves an analysis of how this time varies by characteristics of the local community, school, teacher, classroom, and students. Finally, trends over time are examined to see how the amount and percentage of time spent on the four core subjects has changed from 1987-88 to 1993-94.",,statistical-publication,,1997-02-11,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=97293,,,,NCES,,,,Time in Instruction,,,,,,,,,,,Marianne Perie|David P. Baker (AIR)|Sharon Bobbitt (NCES),,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs/97293.pdf,,,,,,,,,
Findings from the Condition of Education 1996:  Preparation for Work,,"This essay is taken from The Condition of Education, 1996.  It pulls together a variety evidence on the topic of preparation for work ranging from course-taking, use of computers in school, working while in school, and so forth.",,report,,1997-02-14,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=97373,,,,NCES,,,,,,,,,,,,,,,Elliott Medrich (MPR Associates|Inc.),,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs97/97373.pdf,,,,,,,,,
Findings from the Condition of Education 1996:  Minorities in Higher Education,,"This essay is taken from The Condition of Education, 1996.  It pulls together a variety of evidence on the topic of minorities in higher education ranging from plans, aspirations, course-taking in high school, academic achievement as seniors in high school, and so forth.",,report,,1997-02-14,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=97372,,,,NCES,,,,,,,,,,,,,,,Thomas M. Smith,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs97/97372.pdf,,,,,,,,,
Findings from the Condition of Education 1996:  Teachers' Working Conditions,,"This essay is taken from The Condition of Education, 1996.  It pulls together a variety evidence on the topic of teacher's working conditions ranging from hours worked per week, class size, classes per day, salary, professional development support, and so forth.",,report,,1997-02-14,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=97371,,,,NCES,,,,,,,,,,,,,,,Susan P. Choy (MPR Associates|Inc.),,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs97/97371.pdf,,,,,,,,,
"Design, Data Collection, Monitoring, Interview Administration Time, and Data Editing in the 1993 National Household Education Survey (NHES:93)",,"The primary purpose of the NHES is to conduct repeated measurements of the same phenomena at different points in time.  This working paper presents information on the NHES:93 survey design, data collection procedures, monitoring of interviews, interview administration time, and data editing.",,discussion-paper-working-paper,,1997-02-20,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=9704,,,,NCES,,,,,,,,,,,,,,,J. Michael Brick|Mary A. Collins|Mary Jo Nolin|Elizabeth Davies|Mary L. Feibus (Westat|Inc.),,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs97/9704.pdf,,,,,,,,,
"Unit and Item Response, Weighting, and Imputation Procedures in the 1995 National Household Education Survey (NHES:95)",,"This working paper presents information on the unit response rates, item response rates and imputation, and weighting procedures in the 1995 NHES.  The NHES has been conducted in 1991, 1993, 1995, and 1996.  Topics addressed by the NHES:91 were early childhood education and adult education.  The 1991 components were repeated for the NHES:95, addressing early childhood program participation and adult education.  Both components underwent substantial redesign to incorporate new issues and develop new measurement approaches.",,discussion-paper-working-paper,,1997-02-20,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=9706,,,,NCES,,,,,,,,,,,,,,,J. Michael Brick|Pam Broene (Westat|Inc.),,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs97/9706.pdf,,,,,,,,,
"Unit and Item Response, Weighting, and Imputation Procedures in the 1993 National Household Education Survey (NHES:93)",,"This working paper presents information on unit response, weighting, item response, and imputation in the 1993 National Household Education Survey.",,discussion-paper-working-paper,,1997-02-20,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=9705,,,,NCES,,,,,,,,,,,,,,,J. Michael Brick|Ellen Tubbs|Mary A. Collins|Mary Jo Nolin,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs97/9705.pdf,,,,,,,,,
Selected Papers on Education Surveys:  Papers Presented at the 1996 Meeting of the American Statistical Association,,The 11 papers contained in this volume were presented at the 1996 American Statistical Association (ASA).  The papers presented at the ASA meetings usually summarize ongoing research.  In some cases NCES publishes more complete reports on the topics.,,discussion-paper-working-paper,,1997-02-20,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=9701,,,,NCES,,,,,,,,,,,,,,,,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs97/9701.pdf,,,,,,,,,
Teacher Professionalization and Teacher Commitment:  A Multilevel Analysis,,"This report is concerned with the effects of teacher professionalization on elementary and secondary teachers in the United States. The analysis assesses the effects of teacher professionalization by examining the relationships between a selected set of characteristics, traditionally associated with professions and professionals, and one of the most important aspects of the quality and performance of teachers: their commitment to their teaching careers.",,report,,1997-02-24,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=97069,,,,NCES,,,,SASS|Teachers|commitment,,,,,,,,,,,Richard M. Ingersoll (AIR)|Nabeel Alsalam (NCES),,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs/97069.pdf,,,,,,,,,
Campus Crime and Security at Postsecondary Education Institutions,,"This report presents data on campus crime statistics for the years 1992, 1993, and 1994 and includes information on campus security procedures, programs, and annual security reports compiled by institutions.
Keywords: higher education; college; postsecondary education",,statistical-publication,,1997-02-25,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=97402,,,,NCES,,,,Crime (see also Violence and Safety)|Higher Education|Postsecondary Education|Safety in Schools|Violence,,,,,,,,,,,Laurie Lewis|Elizabeth Farris (Westat|Inc.)|Bernie Green (NCES),,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/surveys/peqis/publications/97402/,,,,,,,,,
NAEP 1996 Mathematics Report Card for the Nation and the States: Findings from the National Assessment of Educational Progress,,"This report is the first release of results from the NAEP 1996 assessment in mathematics.  National results at grades 4, 8, and 12 and state-by-state results at grades 4 and 8 are presented.  The focus of the report, and the mission of NAEP, is to inform policy makers and the public about student achievement.",,statistical-publication,,1997-02-27,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=97488,,,,NCES,,,,Achievement (Student)|mathematics|Mathematics,,,,,,,,,,,Clyde M. Reese|Karen E. Miller|John Mazzeo|John A. Dossey,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/naep/pubs/main1996/97488.asp ,,,,,,,,,
"E.D. TAB: Public Libraries in the United States, FY 1994",,"The tables in this E.D. TABS summarize information about public libraries in the fifty states and the District of Columbia for state fiscal year 1994.  They include information about service measures such as reference transactions, public service hours, interlibrary loans, circulation, library visits, children's program attendance, and circulation of children's materials.",,report,,1997-03-03,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=97418,,,,NCES,,,,Libraries|public|States|libraries,,,,,,,,,,,U.S. Bureau of the Census|Governments Division,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs97/web/97418.asp,,,,,,,,,
Use of Public Library Services by Households in the United States:  1996,,"This report presents the findings for all households, and separately for households with and without children under age 18, on the use of library services.  While information collected from public libraries includes a few of the services they provide and their service areas, little national level information is available on the use of public libraries by members of the community. One 1991 survey found that 32 percent of adults had used a public library or public library program in the past month and 63 percent had done so in the past year
(Brick, et al. 1992).",,statistical-publication,,1997-03-03,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=97446,,,,NCES,,,,Libraries|public,,,,,,,,,,,Mary A. Collins (Westat|Inc.)|Kathryn Chandler (NCES),,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs/web/97446.asp,,,,,,,,,
